question,query
Arabalardan beygir gücü 163 olan arabaların modellerini göster.,SELECT model WHERE beygir_gucu EQL 163
Tüm hemşirelerin sadece adlarını göster.,SELECT ad
Dergiler tablosundaki en büyük numarayı listele.,SELECT max(numara)
Mimarlar tablosundaki en büyük numarayı göster.,SELECT max(numara)
Doğum tarihi 01/04/1990 olan insanların doğum tarihlerini listele.,SELECT dogum_tarihi WHERE dogum_tarihi EQL 01/04/1990
Çiftliklerden at sayısı 2 olan çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE at_sayisi EQL 2
Numarası 1 olan personellerin adlarını listele.,SELECT ad WHERE numara EQL 1
Numarası 1 olan şarkıların adlarını listele.,SELECT ad WHERE numara EQL 1
Toplam uçağı 660 olan havalimanlarının adlarını getir.,SELECT ad WHERE toplam_ucak EQL 660
Personel sayısı 12 olan tüm müzelerin personel sayılarını getir.,SELECT personel_sayisi WHERE personel_sayisi EQL 12
Modeli Mercedes olan arabaların modellerini listele.,SELECT model WHERE model EQL Mercedes
Müşterilerin telefonlarını getir.,SELECT telefon
En büyük restoran numarasını listele.,SELECT max(numara)
Numarası TK1919 olan uçuşların numaralarını getir.,SELECT numara WHERE kod EQL TK1919
Telefonlardan ekran modu Big olan telefonların ülkelerini göster.,SELECT ulke WHERE ekran_modu EQL Big
Veritabanındaki soyadı Garcia olan çalışanların adlarını yazdır.,SELECT ad WHERE soyad EQL Garcia
Toplam müşteri sayısı nedir?,SELECT count(numara)
Sürücüler tablosundan numarası 1 olan sürücülerin soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Hastalar tablosundan sigortası MAPFRE olan hastaların sigortalarını getir.,SELECT sigorta WHERE sigorta EQL MAPFRE
Şehiri Istanbul olan tüm müşterilerin numaralarını getir.,SELECT numara WHERE sehir EQL Istanbul
Yarışlardan numarası 1 olan yarışların adlarını göster.,SELECT ad WHERE numara EQL 1
Soyadı Garcia olan çalışanların numaralarını listele.,SELECT numara WHERE soyad EQL Garcia
Adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının adlarını bul.,SELECT ad WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Dersler tablosundaki en büyük krediyi getir.,SELECT max(kredi)
Hastaların telefonlarını getir.,SELECT telefon
Veritabanındaki havalimanlarından en büyük iç yolcuyu yazdır.,SELECT max(ic_yolcu)
Yayınlardan yılı 2021 olan yayınların yıllarını getir.,SELECT yil WHERE yil EQL 2021
Trenlerden adı Andaman Exp olan trenlerin adlarını getir.,SELECT ad WHERE ad EQL Andaman Exp
Uçaklar tablosunda hızı 905 olan uçakların açıklamalarını getir.,SELECT aciklama WHERE hiz EQL 905
Tüm öğrencilerin cinsiyetlerini getir.,SELECT cinsiyet
Toplam yolcusu 475 olan uçakların numaralarını bul.,SELECT numara WHERE toplam_yolcu EQL 475
Numarası 1 olan çalışanların soyadlarını listele.,SELECT soyad WHERE numara EQL 1
Trenlerden kalkışı Chennai olan trenlerin numaralarını göster.,SELECT numara WHERE kalkis EQL Chennai
Stadyumlardan adı Camp Nou olan stadyumların şehirlerini göster.,SELECT sehir WHERE ad EQL Camp Nou
Arabalar tablosunda yılı 1926 olan arabaların numaralarını getir.,SELECT numara WHERE yil EQL 1926
Beygir gücü 163 olan arabaların beygir güçlerini bul.,SELECT beygir_gucu WHERE beygir_gucu EQL 163
Veritabanındaki şehiri Barcelona olan stadyumların kapasitelerini yazdır.,SELECT kapasite WHERE sehir EQL Barcelona
Personeller tablosundan telefonu 1 505-644-9320 olan personellerin adlarını getir.,SELECT ad WHERE telefon EQL 1 505-644-9320
Restoranların tiplerini getir.,SELECT tip
Adı Istanbul Sabiha Gokcen Havalimani olan havalimanlarının uluslararası yolcularını listele.,SELECT uluslararasi_yolcu WHERE ad EQL Istanbul Sabiha Gokcen Havalimani
Öğrencilerden şehiri New York olan öğrencilerin adlarını göster.,SELECT ad WHERE sehir EQL New York
Adı Michael olan insanların kilolarını bul.,SELECT kilo WHERE ad EQL Michael
Alıntısı 29 olan yayınların yıllarını bul.,SELECT yil WHERE alinti EQL 29
Adı Michael olan tüm insanların kilolarını getir.,SELECT kilo WHERE ad EQL Michael
Veritabanındaki tüm çalışanların adlarını yazdır.,SELECT ad
Çiftlikler tablosunda keçi sayısı 2 olan çiftliklerin koyun sayılarını getir.,SELECT koyun_sayisi WHERE keci_sayisi EQL 2
Kalkışı Chennai olan trenlerin adlarını getir.,SELECT ad WHERE kalkis EQL Chennai
Veritabanındaki numarası 1 olan mağazaların numaralarını yazdır.,SELECT numara WHERE numara EQL 1
Numarası 1 olan pilotların numaralarını bul.,SELECT numara WHERE numara EQL 1
Tüm mimarların cinsiyetlerini görüntüle.,SELECT cinsiyet
Şarkılardan ülkesi Türkiye olan şarkıların adlarını getir.,SELECT ad WHERE ulke EQL Türkiye
Ekran modu Big olan tüm telefonların modellerini getir.,SELECT model WHERE ekran_modu EQL Big
Numarası 1 olan uçuşların mesafelerini bul.,SELECT mesafe WHERE numara EQL 1
Tüm şarkıların türlerini görüntüle.,SELECT tur
Tüm öğrencilerin soyadlarını listele.,SELECT soyad
Öğrenciler tablosunda cinsiyeti Erkek olan öğrencilerin cinsiyetlerini getir.,SELECT cinsiyet WHERE cinsiyet EQL Erkek
Bütün uçuşların varışlarını göster.,SELECT varis
Çiftliklerin inek sayılarını göster.,SELECT inek_sayisi
Çiftliklerden keçi sayısı 2 olan çiftliklerin boğa sayılarını göster.,SELECT boga_sayisi WHERE keci_sayisi EQL 2
Numarası 1 olan hastaların telefonlarını bul.,SELECT telefon WHERE numara EQL 1
Şehirlerden alanı 5343 olan şehirlerin numaralarını göster.,SELECT numara WHERE alan EQL 5343
Veritabanındaki soyadı Garcia olan çalışanların cinsiyetlerini yazdır.,SELECT cinsiyet WHERE soyad EQL Garcia
Inek sayısı 10 olan tüm çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE inek_sayisi EQL 10
Numarası 1 olan ürünlerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Stadyumlardan numarası 1 olan stadyumların şehirlerini getir.,SELECT sehir WHERE numara EQL 1
Tüm çiftliklerin numaralarını getir.,SELECT numara
Veritabanındaki pilotlardan en büyük yaşı yazdır.,SELECT max(yas)
Veritabanındaki numarası 1 olan oyunların kategorilerini yazdır.,SELECT kategori WHERE numara EQL 1
Başlığı Esaretin Bedeli olan filmlerin numaralarını listele.,SELECT numara WHERE baslik EQL Esaretin Bedeli
Yayınlardan başlığı Artificial Intelligence olan yayınların başlıklarını göster.,SELECT baslik WHERE baslik EQL Artificial Intelligence
Havalimanlarından iç yolcusu 63648 olan havalimanlarının iç yolcularını göster.,SELECT ic_yolcu WHERE ic_yolcu EQL 63648
Şehirler içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Personellerden adı Joseph olan personellerin e-postalarını göster.,SELECT eposta WHERE ad EQL Joseph
Cihazlardan cihazı Apple olan cihazların cihazlarını getir.,SELECT cihaz WHERE cihaz EQL Apple
Sanatçısı Muzeyyen Senar olan şarkıların çıkış tarihlerini bul.,SELECT cikis_tarihi WHERE sanatci EQL Muzeyyen Senar
Veritabanındaki nüfusu 15000000 olan şehirlerin numaralarını yazdır.,SELECT numara WHERE nufus EQL 15000000
Uçaklar tablosundan toplam yolcusu 475 olan uçakların toplam yolcularını getir.,SELECT toplam_yolcu WHERE toplam_yolcu EQL 475
Cihazların cihazlarını getir.,SELECT cihaz
Adı Gallery of Earth olan müzelerin personel sayılarını getir.,SELECT personel_sayisi WHERE ad EQL Gallery of Earth
Şehirler tablosundaki en büyük nüfusu listele.,SELECT max(nufus)
Veritabanındaki tüm yarışların adlarını yazdır.,SELECT ad
Trenler tablosunda adı Andaman Exp olan trenlerin numaralarını getir.,SELECT numara WHERE ad EQL Andaman Exp
Tüm uçuşların sadece numaralarını göster.,SELECT numara
Müzeler tablosunda adı Gallery of Earth olan müzelerin açılış yıllarını getir.,SELECT acilis_yili WHERE ad EQL Gallery of Earth
Yarışlardan yılı 2005 olan yarışların adlarını getir.,SELECT ad WHERE yil EQL 2005
Uçuşlar tablosundan varış tarihi 19/05/2022 14:00 olan uçuşların mesafelerini getir.,SELECT mesafe WHERE varis_tarihi EQL 19/05/2022 14:00
Numarası 1 olan öğrencilerin adlarını bul.,SELECT ad WHERE numara EQL 1
Veritabanındaki köprülerin sayısını yazdır.,SELECT count(numara)
Müşteriler tablosundaki en büyük numarayı listele.,SELECT max(numara)
Veritabanındaki adı David olan öğrencilerin cinsiyetlerini yazdır.,SELECT cinsiyet WHERE ad EQL David
Veritabanındaki tüm dergilerin adlarını yazdır.,SELECT ad
Toplam çalışan sayısını getir.,SELECT count(numara)
Numarası 1 olan uçuşların numaralarını bul.,SELECT numara WHERE numara EQL 1
Bütün restoranların derecelerini göster.,SELECT derece
En büyük şarkı numarasını listele.,SELECT max(numara)
Çalışanlardan soyadı Garcia olan çalışanların adlarını getir.,SELECT ad WHERE soyad EQL Garcia
Oyunlar tablosunda adı Minecraft olan oyunların numaralarını getir.,SELECT numara WHERE ad EQL Minecraft
Sigortası MAPFRE olan hastaların numaralarını getir.,SELECT numara WHERE sigorta EQL MAPFRE
Numarası 1 olan çiftliklerin inek sayılarını getir.,SELECT inek_sayisi WHERE numara EQL 1
Numarası 1 olan yarışların adlarını listele.,SELECT ad WHERE numara EQL 1
Açılış yılı 1957 olan tüm stadyumların numaralarını getir.,SELECT numara WHERE acilis_yili EQL 1957
Veritabanındaki numarası 1 olan sürücülerin adlarını yazdır.,SELECT ad WHERE numara EQL 1
Çiftlikler tablosunda boğa sayısı 5 olan çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE boga_sayisi EQL 5
Uçaklardan hızı 905 olan uçakların numaralarını göster.,SELECT numara WHERE hiz EQL 905
Tüm uçuşların mesafelerini getir.,SELECT mesafe
Kilosu 82 olan insanların kilolarını bul.,SELECT kilo WHERE kilo EQL 82
Tüm yüzücülerin sadece uyruklarını göster.,SELECT uyruk
Kalkışı Chennai olan trenlerin varışlarını bul.,SELECT varis WHERE kalkis EQL Chennai
Numarası 1 olan uçuşların numaralarını listele.,SELECT numara WHERE numara EQL 1
Oyunlar tablosunda numarası 1 olan oyunların adlarını getir.,SELECT ad WHERE numara EQL 1
Tüm demiryollarının konumlarını listele.,SELECT konum
Tüm yazarların adlarını getir.,SELECT ad
Adı Leonardo da Vinci olan tüm sanatçıların numaralarını getir.,SELECT numara WHERE ad EQL Leonardo da Vinci
Veritabanındaki tüm yöneticilerin düzeylerini yazdır.,SELECT duzey
Veritabanındaki varış tarihi 19/05/2022 14:00 olan uçuşların kalkış tarihlerini yazdır.,SELECT kalkis_tarihi WHERE varis_tarihi EQL 19/05/2022 14:00
Sigortası MAPFRE olan hastaların numaralarını listele.,SELECT numara WHERE sigorta EQL MAPFRE
Şehiri New York olan öğrencilerin yaşlarını bul.,SELECT yas WHERE sehir EQL New York
Yüzücüler tablosundan numarası 1 olan yüzücülerin numaralarını getir.,SELECT numara WHERE numara EQL 1
Veritabanındaki numarası TK1919 olan uçuşların varış tarihlerini yazdır.,SELECT varis_tarihi WHERE kod EQL TK1919
Şehiri Istanbul olan müşterilerin numaralarını bul.,SELECT numara WHERE sehir EQL Istanbul
Yöneticilerden numarası 1 olan yöneticilerin adlarını göster.,SELECT ad WHERE numara EQL 1
Uçaklar tablosundaki en büyük hızı listele.,SELECT max(hiz)
Müşteriler tablosundan kodu 204060 olan müşterilerin kodlarını getir.,SELECT kod WHERE kod EQL 204060
Mimarlar tablosunda adı John olan mimarların adlarını getir.,SELECT ad WHERE ad EQL John
Konferanslar tablosundaki en büyük numarayı göster.,SELECT max(numara)
Numarası 1 olan oyunların numaralarını bul.,SELECT numara WHERE numara EQL 1
Uçuşlardan mesafesi 350 olan uçuşların numaralarını getir.,SELECT numara WHERE mesafe EQL 350
Şarkılar tablosundan sanatçısı Muzeyyen Senar olan şarkıların türlerini getir.,SELECT tur WHERE sanatci EQL Muzeyyen Senar
Hastalardan adı Charles olan hastaların adlarını göster.,SELECT ad WHERE ad EQL Charles
Demiryollarından demiryolu Union Pacific Railroad olan demiryollarının konumlarını göster.,SELECT konum WHERE demiryolu EQL Union Pacific Railroad
Tüm müşterilerin telefonlarını listele.,SELECT telefon
Yeri Izmir olan sinemaların adlarını bul.,SELECT ad WHERE yer EQL Izmir
Demiryollarından kurucusu Union Pacific Corporation olan demiryollarının kurucularını göster.,SELECT kurucu WHERE kurucu EQL Union Pacific Corporation
Öğrenciler tablosunda numarası 1 olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE numara EQL 1
Restoranların numaralarını getir.,SELECT numara
En büyük çalışan maaşını getir.,SELECT max(maas)
Sinemalardan yeri Izmir olan sinemaların adlarını getir.,SELECT ad WHERE yer EQL Izmir
Tüm uçakların numaralarını görüntüle.,SELECT numara
Beygir gücü 163 olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE beygir_gucu EQL 163
Kitaplar içerisinde en yüksek numara kaçtır?,SELECT max(numara)
Cinsiyeti Male olan personellerin soyadlarını getir.,SELECT soyad WHERE cinsiyet EQL Male
Bütün stadyumların kapasitelerini getir.,SELECT kapasite
Bütün sürücülerin uyruklarını getir.,SELECT uyruk
At sayısı 2 olan çiftliklerin at sayılarını listele.,SELECT at_sayisi WHERE at_sayisi EQL 2
Cinsiyedi Male olan mimarların adlarını getir.,SELECT ad WHERE cinsiyet EQL Male
Çiftliklerden domuz sayısı 2 olan çiftliklerin keçi sayılarını göster.,SELECT keci_sayisi WHERE domuz_sayisi EQL 2
Öğretmenler tablosundan yaşı 36 olan öğretmenlerin şehirlerini getir.,SELECT sehir WHERE yas EQL 36
Arabalar tablosunda en büyük beygir güç kaçtır?,SELECT max(beygir_gucu)
Hemşirelerden kayıdı 01/05/2015 olan hemşirelerin pozisyonlarını getir.,SELECT pozisyon WHERE kayit EQL 01/05/2015
Veritabanındaki tüm kitapların yazarlarını yazdır.,SELECT yazar
Adı Fatih Sultan Mehmet Koprusu olan tüm köprülerin uzunluklarını getir.,SELECT uzunluk WHERE ad EQL Fatih Sultan Mehmet Koprusu
Hemşireler tablosundan numarası 1 olan hemşirelerin adlarını getir.,SELECT ad WHERE numara EQL 1
Stadyumlardan kapasitesi 99354 olan stadyumların şehirlerini göster.,SELECT sehir WHERE kapasite EQL 99354
Sanatçılardan cinsiyeti Erkek olan sanatçıların numaralarını göster.,SELECT numara WHERE cinsiyet EQL Erkek
Domuz sayısı 2 olan çiftliklerin at sayılarını bul.,SELECT at_sayisi WHERE domuz_sayisi EQL 2
Öğretmenlerden adı Richard olan öğretmenlerin numaralarını göster.,SELECT numara WHERE ad EQL Richard
Adı Richard olan öğretmenlerin adlarını bul.,SELECT ad WHERE ad EQL Richard
Çiftliklerden numarası 1 olan çiftliklerin domuz sayılarını göster.,SELECT domuz_sayisi WHERE numara EQL 1
Tüm cihazların sadece versiyonlarını göster.,SELECT versiyon
Uçuşlar tablosundan varış tarihi 19/05/2022 14:00 olan uçuşların başlangıçlarını getir.,SELECT baslangic WHERE varis_tarihi EQL 19/05/2022 14:00
Öğretmenlerden en büyük yaşı getir.,SELECT max(yas)
Numarası 1 olan yazarların adlarını listele.,SELECT ad WHERE numara EQL 1
Maaşı 80000 olan çalışanların cinsiyetlerini listele.,SELECT cinsiyet WHERE maas EQL 80000
Öğrencilerden numarası 1 olan öğrencilerin numaralarını göster.,SELECT numara WHERE numara EQL 1
Tüm sürücülerin sadece tiplerini göster.,SELECT tip
Öğretmenler tablosunda adı Richard olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE ad EQL Richard
Havalimanlarının numaralarını getir.,SELECT numara
E-postası jtaylor@gmail.com olan tüm personellerin cinsiyetlerini getir.,SELECT cinsiyet WHERE eposta EQL jtaylor@gmail.com
Kapasitesi 99354 olan stadyumların şehirlerini getir.,SELECT sehir WHERE kapasite EQL 99354
Şehirlerden nüfusu 15000000 olan şehirlerin alanlarını getir.,SELECT alan WHERE nufus EQL 15000000
Yayınlardan numarası 1 olan yayınların alıntılarını göster.,SELECT alinti WHERE numara EQL 1
Hemşirelerden numarası 1 olan hemşirelerin pozisyonlarını getir.,SELECT pozisyon WHERE numara EQL 1
Yayınlardan alıntısı 29 olan yayınların numaralarını göster.,SELECT numara WHERE alinti EQL 29
Kayıdı 01/05/2015 olan hemşirelerin pozisyonlarını listele.,SELECT pozisyon WHERE kayit EQL 01/05/2015
Numarası 1 olan öğretmenlerin yaşlarını getir.,SELECT yas WHERE numara EQL 1
Tüm trenlerin kalkışlarını getir.,SELECT kalkis
Arabalardan yılı 1926 olan arabaların beygir güçlerini getir.,SELECT beygir_gucu WHERE yil EQL 1926
Yayınlar tablosundan başlığı Artificial Intelligence olan yayınların alıntılarını getir.,SELECT alinti WHERE baslik EQL Artificial Intelligence
Adı William olan tüm çalışanların soyadlarını getir.,SELECT soyad WHERE ad EQL William
Tüm projelerin sadece başlangıç tarihlerini göster.,SELECT baslangic_tarihi
En büyük şehir numarasını listele.,SELECT max(numara)
Kodu 204060 olan tüm müşterilerin telefonlarını getir.,SELECT telefon WHERE kod EQL 204060
Departman tablosu içerisinde bulunan numaraları ekrana getir.,SELECT numara
Tüm personellerin e-postalarını görüntüle.,SELECT eposta
Toplam havalimanı sayısını getir.,SELECT count(numara)
Tüm mağazaları say.,SELECT count(numara)
Sinemalardan kapasitesi 140 olan sinemaların yerlerini getir.,SELECT yer WHERE kapasite EQL 140
Veritabanındaki kodu 5090 olan ürünlerin numaralarını yazdır.,SELECT numara WHERE kod EQL 5090
Boğa sayısı 5 olan çiftliklerin domuz sayılarını getir.,SELECT domuz_sayisi WHERE boga_sayisi EQL 5
Yöneticiler tablosundan ülkesi America olan yöneticilerin adlarını getir.,SELECT ad WHERE ulke EQL America
Demiryolları tablosundan demiryolu Union Pacific Railroad olan demiryollarının demiryollarını getir.,SELECT demiryolu WHERE demiryolu EQL Union Pacific Railroad
Adı Robert olan pilotların numaralarını getir.,SELECT numara WHERE ad EQL Robert
Yaşı 34 olan pilotların cinsiyetlerini bul.,SELECT cinsiyet WHERE yas EQL 34
Havalimanlarından uluslarası yolcusu 35858 olan havalimanlarının toplam uçaklarını getir.,SELECT toplam_ucak WHERE uluslararasi_yolcu EQL 35858
Uçaklar tablosundaki en büyük toplam yolcuyu listele.,SELECT max(toplam_yolcu)
Boğa sayısı 5 olan çiftliklerin at sayılarını getir.,SELECT at_sayisi WHERE boga_sayisi EQL 5
Personellerden adı Joseph olan personellerin adlarını göster.,SELECT ad WHERE ad EQL Joseph
Şarkılardan adı Istanbul Sokaklari olan şarkıların türlerini göster.,SELECT tur WHERE ad EQL Istanbul Sokaklari
Müşterilerden e-postası ****@gmail.com olan müşterilerin şehirlerini göster.,SELECT sehir WHERE eposta EQL ****@gmail.com
Mimarlardan uyruğu Ingiliz olan mimarların numaralarını getir.,SELECT numara WHERE uyruk EQL Ingiliz
Veritabanındaki numarası 1 olan arabaların modellerini yazdır.,SELECT model WHERE numara EQL 1
Numarası 1 olan tüm pilotların cinsiyetlerini getir.,SELECT cinsiyet WHERE numara EQL 1
Öğrencilerden şehiri New York olan öğrencilerin soyadlarını getir.,SELECT soyad WHERE sehir EQL New York
Müzelerden numarası 1 olan müzelerin personel sayılarını göster.,SELECT personel_sayisi WHERE numara EQL 1
Öğrencilerden cinsiyeti Erkek olan öğrencilerin adlarını getir.,SELECT ad WHERE cinsiyet EQL Erkek
Arabalar tablosundaki en büyük numarayı getir.,SELECT max(numara)
Tüm havalimanlarını say.,SELECT count(numara)
Kitaplar tablosundaki en büyük numarayı göster.,SELECT max(numara)
Arabalardan numarası 1 olan arabaların numaralarını getir.,SELECT numara WHERE numara EQL 1
Sürücülerden soyadı Lee olan sürücülerin uyruklarını göster.,SELECT uyruk WHERE soyad EQL Lee
Kalkış tarihi 19/05/2022 13:00 olan tüm uçuşların kalkış tarihlerini getir.,SELECT kalkis_tarihi WHERE kalkis_tarihi EQL 19/05/2022 13:00
Yarış tablosu içerisinde bulunan turları ekrana getir.,SELECT tur
Veritabanındaki versiyonu 15 olan cihazların versiyonlarını yazdır.,SELECT versiyon WHERE versiyon EQL 15
Tarihi 01/04/2005 olan yarışların turlarını getir.,SELECT tur WHERE tarih EQL 01/04/2005
Veritabanındaki sanatçısı Muzeyyen Senar olan şarkıların adlarını yazdır.,SELECT ad WHERE sanatci EQL Muzeyyen Senar
Yarışlar tablosundan tarihi 01/04/2005 olan yarışların yıllarını getir.,SELECT yil WHERE tarih EQL 01/04/2005
Yayınlar tablosunda alıntısı 29 olan yayınların yıllarını getir.,SELECT yil WHERE alinti EQL 29
Ürünler tablosundan numarası 1 olan ürünlerin fiyatlarını getir.,SELECT fiyat WHERE numara EQL 1
Ülkesi Almanya olan tüm arabaların modellerini getir.,SELECT model WHERE ulke EQL Almanya
Tüm yarışların sadece tarihlerini göster.,SELECT tarih
